,,,,,,,,,,,,,,,,,,,
,,INSTITUTO TÉCNICO PEDAGÓGICO,,,,,,,,,,,,,,,,,
,,INTEP,,,,,,,,,,,,,,,,,
,,PROGRAMACION BIMESTRAL,,,,,,,,,,,,,,,,,
,,PARCELADOR,,,,,,,,,,,,,,,,,
,,CODIGO,,,,FT-01,,,,VERSION,,,1,,Fecha Actualización,,,2026-03-01,
BIMESTRE,,MÓDULO DE FORMACIÓN,,,,,,CODIGO,,,,,,,FORMADOR,,,,
,,,,,,,,,,,,,,,Adriana Milena Silva,,,,
,,CURSOS QUE COMPONEN EL MÓDULO DE FORMACIÓN,,,,,,HORARIO,,,,,,,,,,,
,,SEGURIDAD OCUPACIONAL I,,,,,,LUNES Y MARTES DE 6:30 pm a 9:30 pm ,,,,,,,,,,,
No.,Unidad,                                   Clase,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,OK
,,                                  Fecha,2026-02-09,2026-02-10,2026-02-16,2026-02-17,2026-02-23,2026-02-24,2026-03-02,2026-03-03,2026-03-09,2026-03-10,2026-03-16,2026-03-17,2026-03-23,2026-03-24,2026-03-30,2026-03-31,
,,Competencia ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,INTRODUCCIÓN A LA SEGURIDAD OCUPACIONAL ,Conocer los fundamentos de Seguridad y Salud en el Trabajo según normatividad vigente.,,,,,,,,,,,,,,,,,
2,MARCO LEGAL DECRETO 1072 DEL 2015,Desarrollar e identificar  los fundamentos de Seguridad y Salud en el Trabajo según normatividad vigente.,,,,,,,,,,,,,,,,,
3,SISTEMA DE GESTIÓN  SG-SST ,Aplicar los fundamentos de Seguridad y Salud en el Trabajo según normatividad vigente.,,,,,,,,,,,,,,,,,
4,CICLO PHVA,Taller práctico aplicación PHVA.,,,,,,,,,,,,,,,,,
5,SISTEMA GENERAL DE RIESGOS LABORALES. ,Identificar la ARL y responsabilidades que tiene con el empleador y empleadores. ,,,,,,,,,,,,,,,,,
6,IDENTIFICACIÓN DE PELIGROS,Conocer e identificar los conceptos de peligro y riesgo.,,,,,,,,,,,,,,,,,
7,CLASIFICACIÓN DE RIESGOS LABORALES,Identificar los tipos de riesgos laborales.,,,,,,,,,,,,,,,,,
8,PARCIAL I ,Evaluar y reflexionar sobre el aprendizaje y la práctica de seguridad ocupacional.,,,,,,,,,,,,,,,,,
9,MATRIZ DE RIESGOS  – GTC 45,Conocer y diferenciar la evaluación de riesgos.,,,,,,,,,,,,,,,,,
10,PREVENCIÓN Y CONTROL ,Identificar la jerarquía de controles.,,,,,,,,,,,,,,,,,
11,EPP ELEMENTOS DE PROTECCIÓN PERSONAL ,Conocer los tipos y uso adecuado de protección personal.,,,,,,,,,,,,,,,,,
12,SEÑALIZACIÓN Y COLORES DE SEGURIDAD,Conocer los colores y símbolos de seguridad.,,,,,,,,,,,,,,,,,
13,ACCIDENTE LABORAL ,Conocer e identificar los concepto y reporte de los accidentes laborales. ,,,,,,,,,,,,,,,,,
14,ENFERMEDAD LABORAL,Identificar y clasificar las causas y consecuencias de las enfermedades laborales.,,,,,,,,,,,,,,,,,
15,PARCIAL FINAL ,Evaluar y reflexionar sobre los conocimientos vistos en clase.,,,,,,,,,,,,,,,,,
16,RETROALIMETACIÓN DE LA ASIGNATURA Y NIVELACIÓN ,"Retroaliemtación de la asignatura, reflexión y exposición de nivelaciones. ",,,,,,,,,,,,,,,,,
